,number_of_features,acc,f1,oob,sensitivity,specificity
0,5,0.7205542725173211,0.6437982704231481,0.285732614831922,0.40217391304347827,0.8694915254237288
1,10,0.8094688221709007,0.7554538966673341,0.20246343341031559,0.532608695652174,0.9389830508474576
2,15,0.8187066974595842,0.7626009446234165,0.19194251988709266,0.5217391304347826,0.9576271186440678
3,20,0.8187066974595842,0.769850445616203,0.18899153194765206,0.5615942028985508,0.9389830508474576
4,25,0.8498845265588915,0.8140882098435157,0.16487041313831152,0.644927536231884,0.9457627118644067
5,30,0.8475750577367206,0.8092931072451002,0.15960995637670006,0.6268115942028986,0.9508474576271186
6,35,0.8475750577367206,0.8087967671144891,0.1626892481395945,0.6231884057971014,0.9525423728813559
7,40,0.8521939953810623,0.8160199170124481,0.15011547344110854,0.6413043478260869,0.9508474576271186
8,45,0.8614318706697459,0.8275186721991701,0.1531947652040031,0.6557971014492754,0.9576271186440678
9,50,0.8568129330254042,0.8231115913763114,0.1494739543238388,0.6594202898550725,0.9491525423728814
10,55,0.8625866050808314,0.8308735317914238,0.14447010520913528,0.6739130434782609,0.9508474576271186
11,60,0.8660508083140878,0.8357413354437416,0.1447267128560431,0.6847826086956522,0.9508474576271186
12,65,0.8648960739030023,0.8341232460254704,0.14498332050295104,0.6811594202898551,0.9508474576271186
13,70,0.8683602771362586,0.8385733813843668,0.13972286374133946,0.6884057971014492,0.9525423728813559
14,75,0.8602771362586605,0.8271756430238406,0.14305876315114185,0.6630434782608695,0.9525423728813559
15,80,0.8695150115473441,0.8373725136315064,0.13754169874262256,0.6666666666666666,0.964406779661017
16,85,0.8764434180138568,0.8443981346986685,0.1293302540415704,0.6630434782608695,0.976271186440678
17,90,0.8787528868360277,0.8500284505578783,0.13574544521426735,0.6920289855072463,0.9661016949152542
18,95,0.8799076212471132,0.8512705678748126,0.12920195021811653,0.6920289855072463,0.9677966101694915
19,100,0.8856812933025404,0.8589499972854118,0.12265845522196561,0.7065217391304348,0.9694915254237289
20,105,0.8868360277136259,0.8602010964103104,0.11611496022581469,0.7065217391304348,0.9711864406779661
21,110,0.8810623556581986,0.8521417548117167,0.12317167051578137,0.6884057971014492,0.9711864406779661
22,112,0.8903002309468823,0.8636258903603213,0.11637156787272263,0.7028985507246377,0.9779661016949153
